lx1;ly1;lz3;u11;u12;u13;v11;v12;v13;p11;p12;p13;res(u11);res(u12);res(u13);res(v11);res(v12);res(v13);res(p11);res(p12);res(p13);res_u11;res_u12;res_u13;res_v11;res_v12;res_v13;res_p11;res_p12;res_p13;cell_re1;lx2;ly2;lz2;u21;u22;u23;v21;v22;v23;p21;p22;p23;res(u21);res(u22);res(u23);res(v21);res(v22);res(v23);res(p21);res(p22);res(p23);res_u21;res_u22;res_u23;res_v21;res_v22;res_v23;res_p21;res_p22;res_p23;cell_re2;lx3;ly3;lz3;u31;u32;u33;v31;v32;v33;p31;p32;p33;res(u31);res(u32);res(u33);res(v31);res(v32);res(v33);res(p31);res(p32);res(p33);res_u31;res_u32;res_u33;res_v31;res_v32;res_v33;res_p31;res_p32;res_p33;cell_re3;lx4;ly4;lz4;u41;u42;u43;v41;v42;v43;p41;p42;p43;res(u41);res(u42);res(u43);res(v41);res(v42);res(v43);res(p41);res(p42);res(p43);res_u41;res_u42;res_u43;res_v41;res_v42;res_v43;res_p41;res_p42;res_p43;cell_re4;num_iter;CFL_pred;x;y;u_av;v_av;p_av
0,001470865;0,001196716;0,001571429;0;0,008092969;0,004036517;0;-0,003171589;-0,000250526;0,00771007;0,003182967;0,004193012;0;-1,47825E-07;7,10402E-07;0;7,97018E-07;7,82019E-08;5,29324E-05;-6,62234E-05;-1,78586E-05;-0,527034333;-1,444684208;-0,227152876;-0,10166106;-2,882136467;-0,933505946;-131,1503612;-19,23757606;-50,20848632;0,965949079;1;300,090214;0,139646243;0,000863278;0,004043162;-0,001140705;0,005028683;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001131364;0,001470865;0,001554054;0;0;0,008092969;0;0;-0,003171589;0,00771007;0,003976604;0,003182967;0;0;-1,47825E-07;0;0;7,97018E-07;5,29324E-05;7,76353E-06;-6,62234E-05;-0,527034333;-0,798117108;-1,444684208;-0,10166106;-0,067518399;-2,882136467;-131,1503612;9,352712563;-19,23757606;0,671970717;1;300,0355308;0,139128225;0,000339468;0,001345506;-8,35085E-05;0,005293229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001610095;0,001571429;0,001610169;0,012837284;0,009450627;0,004036517;-0,003970372;-0,000717356;-0,000250526;0,000767843;0,001783692;0,004193012;-8,0633E-07;2,56042E-06;7,10402E-07;4,77397E-06;2,33598E-06;7,82019E-08;-5,70047E-05;4,26233E-05;-1,78586E-05;-0,778114977;-0,310475542;-0,227152876;-4,449162237;-2,313703865;-0,933505946;62,28828312;6,462820379;-50,20848632;2,302261046;1;300,348782;0,13953153;0,002357168;0,01012696;-0,002619773;0,001911501;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001196716;0,001382337;0,001610169;0;0,004036517;0,009450627;0;-0,000250526;-0,000717356;0,00771007;0,004193012;0,001783692;0;7,10402E-07;2,56042E-06;0;7,82019E-08;2,33598E-06;5,29324E-05;-1,78586E-05;4,26233E-05;-0,527034333;-0,227152876;-0,310475542;-0,10166106;-0,933505946;-2,313703865;-131,1503612;-50,20848632;6,462820379;1,065189498;1;300,2512948;0,139177773;0,001649018;0,007193371;-0,001379824;0,003053224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001293764;0,001131364;0,001407847;0;0,004321303;0;0;0,000106861;0;0,00771007;0,002944622;0,003976604;0;7,56982E-07;0;0;-6,16314E-08;0;5,29324E-05;-5,72853E-07;7,76353E-06;-0,527034333;-1,06465983;-0,798117108;-0,10166106;-0,147540211;-0,067518399;-131,1503612;-36,69233898;9,352712563;0,336668831;1;300,0654972;0,13834593;0,000727261;0,00278594;-4,78883E-05;0,003704746;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001382337;0,001293764;0,001520405;0;0,009450627;0,004321303;0;-0,000717356;0,000106861;0,00771007;0,001783692;0,002944622;0;2,56042E-06;7,56982E-07;0;2,33598E-06;-6,16314E-08;5,29324E-05;4,26233E-05;-5,72853E-07;-0,527034333;-0,310475542;-1,06465983;-0,10166106;-2,313703865;-0,147540211;-131,1503612;6,462820379;-36,69233898;1,107879968;1;300,2284212;0,138395478;0,001513001;0,005936149;-0,000287007;0,002973776;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001390291;0,001407847;0,001554054;0,004321303;0;0;0,000106861;0;0;0,002944622;0,00268241;0,003976604;7,56982E-07;0;0;-6,16314E-08;0;0;-5,72853E-07;6,99593E-07;7,76353E-06;-1,06465983;-0,796400458;-0,798117108;-0,147540211;0,021067805;-0,067518399;-36,69233898;-5,841874695;9,352712563;0,336668831;1;300,0383791;0,13766365;0,000387793;0,001440434;3,56202E-05;0,003201212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001502485;0,001461659;0,001571429;0,014802403;0,012837284;0,016795944;-0,001677171;-0,003970372;-0,003980597;0,000822688;0,000767843;-5,75659E-05;9,50913E-07;-8,0633E-07;-1,23513E-06;6,26217E-06;4,77397E-06;5,4802E-06;5,3053E-05;-5,70047E-05;-4,05833E-05;0,220555583;-0,778114977;-0,205846413;-4,215994999;-4,449162237;-4,552108558;32,45620483;62,28828312;53,82946198;4,05755374;1;300,4908759;0,139581255;0,003941406;0,014811877;-0,00320938;0,000510988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001502485;0,001610095;0,001616754;0,012837284;0,014802403;0,009450627;-0,003970372;-0,001677171;-0,000717356;0,000767843;0,000822688;0,001783692;-8,0633E-07;9,50913E-07;2,56042E-06;4,77397E-06;6,26217E-06;2,33598E-06;-5,70047E-05;5,3053E-05;4,26233E-05;-0,778114977;0,220555583;-0,310475542;-4,449162237;-4,215994999;-2,313703865;62,28828312;32,45620483;6,462820379;3,282676698;1;300,5188191;0,139112785;0,003155717;0,012363438;-0,002121633;0,001124741;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001489103;0,001237634;0,001616754;0,018532658;0,009450627;0,014802403;-0,001720497;-0,000717356;-0,001677171;0,000216329;0,001783692;0,000822688;-1,70431E-06;2,56042E-06;9,50913E-07;8,36057E-06;2,33598E-06;6,26217E-06;2,34957E-05;4,26233E-05;5,3053E-05;0,280902337;-0,310475542;0,220555583;-4,12656129;-2,313703865;-4,215994999;37,76159043;6,462820379;32,45620483;3,700574852;1;300,5133224;0,138315742;0,003265887;0,012398952;-0,000929023;0,001462899;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
