NN;E;Iter;Constant;Automatic;ANDERSON;u_in;maxsize;;;;;;;;;;;;;;;;;;;;
4;11;6;6;7;6;0.001;0.0106;;;;;;;;;;;;;;;;;;;;
5;9;6;6;7;7;0.004;0.0106;;;;;;;;;;;;;;;;;;;;
5;8;6;6;7;6;0.007;0.0106;;;;;;;;;;;;;;;;;;;;
6;7;6;6;7;6;0.01;0.0106;;;;;;;;;;;;;;;;;;;;
7;65;100;100;100;21;0.012;0.0106;;;;;;;;;;;;;;;;;;;;
10;46;24;24;17;17;0.015;0.0106;;;;;;;;;;;;;;;;;;;;
12;30;17;17;17;21;0.001;0.0156;;;;;;;;;;;;;;;;;;;;
13;28;19;19;20;14;0.004;0.0156;;;;;;;;;;;;;;;;;;;;
11;100;100;100;100;33;0.007;0.0156;;;;;;;;;;;;;;;;;;;;
11;51;31;31;21;100;0.01;0.0156;;;;;;;;;;;;;;;;;;;;
15;54;26;26;27;31;0.012;0.0156;;;;;;;;;;;;;;;;;;;;
17;51;33;33;33;28;0.015;0.0156;;;;;;;;;;;;;;;;;;;;
100;100;100;100;100;100;0.001;0.0206;;;;;;;;;;;;;;;;;;;;
24;75;64;64;51;82;0.004;0.0206;;;;;;;;;;;;;;;;;;;;
100;81;34;34;38;64;0.007;0.0206;;;;;;;;;;;;;;;;;;;;
16;75;47;48;50;54;0.01;0.0206;;;;;;;;;;;;;;;;;;;;
100;100;100;100;100;100;0.012;0.0206;;;;;;;;;;;;;;;;;;;;
14;91;99;100;100;81;0.015;0.0206;;;;;;;;;;;;;;;;;;;;
100;100;40;40;53;100;0.001;0.0256;;;;;;;;;;;;;;;;;;;;
15;93;61;61;65;54;0.004;0.0256;;;;;;;;;;;;;;;;;;;;
27;100;100;100;100;100;0.007;0.0256;;;;;;;;;;;;;;;;;;;;
20;100;81;100;92;100;0.01;0.0256;;;;;;;;;;;;;;;;;;;;
100;100;37;37;66;91;0.012;0.0256;;;;;;;;;;;;;;;;;;;;
15;100;82;82;87;100;0.015;0.0256;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
