NN;E;Iter;Constant;Automatic;ANDERSON;;u_in;maxsize
4;11;6;6;7;8;;0.01;0.00106
5;9;6;6;7;7;;0.04;0.00106
5;8;6;6;7;6;;0.07;0.00106
5;7;6;6;7;6;;0.1;0.00106
11;100;100;100;16;19;;0.12;0.00106
18;80;24;24;21;23;;0.15;0.00106
14;44;17;17;20;20;;0.01;0.00156
17;33;19;19;19;14;;0.04;0.00156
100;100;100;100;100;29;;0.07;0.00156
100;78;45;45;31;30;;0.1;0.00156
26;64;26;26;34;59;;0.12;0.00156
32;57;33;33;35;57;;0.15;0.00156
100;100;100;100;100;100;;0.01;0.00206
45;73;34;34;48;41;;0.04;0.00206
35;69;34;34;52;56;;0.07;0.00206
50;66;47;48;54;60;;0.1;0.00206
100;100;100;100;100;100;;0.12;0.00206
100;96;100;100;100;48;;0.15;0.00206
46;100;41;41;74;93;;0.01;0.00256
59;93;61;61;86;65;;0.04;0.00256
100;100;100;100;100;100;;0.07;0.00256
100;100;100;100;63;49;;0.1;0.00256
41;100;36;36;92;100;;0.12;0.00256
71;100;82;82;100;100;;0.15;0.00256
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
