NN;E;Iter;Constant;Automatic;ANDERSON;u_in;maxsize
5;30;100;100;100;12;0.001;0.0126
5;26;100;100;100;12;0.004;0.0126
6;24;100;100;13;12;0.007;0.0126
6;22;100;100;12;10;0.01;0.0126
6;100;100;100;100;100;0.001;0.0156
8;100;100;100;35;23;0.004;0.0156
11;100;100;100;29;77;0.007;0.0156
14;93;100;100;37;32;0.01;0.0156
11;100;100;100;28;100;0.001;0.0186
10;100;100;100;35;80;0.004;0.0186
14;100;100;100;30;45;0.007;0.0186
15;100;100;100;35;100;0.01;0.0186
13;100;100;100;100;100;0.001;0.0206
15;100;100;100;38;94;0.004;0.0206
100;100;100;100;40;98;0.007;0.0206
20;100;100;100;39;59;0.01;0.0206
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
; ;;;;;;
