NN;E;Iter;Constant;Automatic;ANDERSON;u_in;maxsize
6;11;6;6;7;6;0.001;0.0106
6;9;6;6;7;6;0.004;0.0106
6;8;6;6;7;6;0.007;0.0106
6;7;6;7;7;6;0.01;0.0106
8;65;100;100;100;20;0.012;0.0106
11;47;26;29;20;16;0.015;0.0106
12;33;13;16;17;21;0.001;0.0156
13;28;19;19;19;15;0.004;0.0156
12;100;100;100;100;33;0.007;0.0156
11;54;35;60;59;43;0.01;0.0156
75;54;28;28;29;43;0.012;0.0156
17;51;32;33;34;29;0.015;0.0156
12;100;100;100;100;100;0.001;0.0206
19;69;31;38;35;63;0.004;0.0206
20;78;36;40;44;100;0.007;0.0206
16;72;100;100;54;31;0.01;0.0206
17;100;100;100;100;100;0.012;0.0206
24;90;100;100;100;48;0.015;0.0206
21;100;42;50;55;82;0.001;0.0256
15;87;52;100;68;83;0.004;0.0256
100;100;100;100;100;100;0.007;0.0256
50;100;100;100;100;100;0.01;0.0256
25;100;46;46;54;76;0.012;0.0256
17;100;100;100;67;100;0.015;0.0256
