NN;E;Iter;Constant;Automatic;ANDERSON;x;y;;;;;;;;;;;;;;;
11;100;55;100;100;96;0.37;0.035;;;;;;;;;;;;;;;
9;100;100;100;57;62;0.37;0.04;;;;;;;;;;;;;;;
12;100;100;100;100;28;0.37;0.045;;;;;;;;;;;;;;;
13;94;100;14;90;16;0.37;0.05;;;;;;;;;;;;;;;
11;50;15;13;43;16;0.37;0.055;;;;;;;;;;;;;;;
14;32;20;10;18;14;0.37;0.06;;;;;;;;;;;;;;;
13;26;20;11;14;16;0.37;0.065;;;;;;;;;;;;;;;
11;24;17;14;14;22;0.37;0.07;;;;;;;;;;;;;;;
16;38;23;14;14;26;0.37;0.075;;;;;;;;;;;;;;;
19;75;100;14;14;100;0.37;0.08;;;;;;;;;;;;;;;
9;100;100;100;41;100;0.3;0.04;;;;;;;;;;;;;;;
19;100;100;100;74;100;1.1;0.04;;;;;;;;;;;;;;;
