NN;E;Iter;Constant;Automatic;ANDERSON;u_in;maxsize
6;11;6;6;7;6;0.001;0.0106
6;9;6;6;7;7;0.004;0.0106
6;8;6;6;7;6;0.007;0.0106
8;8;7;6;7;6;0.01;0.0106
7;64;100;100;100;20;0.012;0.0106
10;45;29;26;16;18;0.015;0.0106
20;31;16;13;16;17;0.001;0.0156
14;28;19;19;19;15;0.004;0.0156
14;100;100;100;30;100;0.007;0.0156
13;54;53;35;23;43;0.01;0.0156
15;57;28;28;29;47;0.012;0.0156
17;50;33;32;33;33;0.015;0.0156
13;100;100;100;100;100;0.001;0.0206
20;75;38;31;39;72;0.004;0.0206
21;83;40;36;41;84;0.007;0.0206
18;81;100;44;46;48;0.01;0.0206
15;100;100;100;100;100;0.012;0.0206
24;94;83;100;100;52;0.015;0.0206
23;100;48;42;53;88;0.001;0.0256
15;91;100;53;56;70;0.004;0.0256
100;100;100;100;100;15;0.007;0.0256
37;100;100;100;100;100;0.01;0.0256
28;100;36;45;58;100;0.012;0.0256
18;100;100;72;77;100;0.015;0.0256
