NN;E;Iter;Constant;Automatic;ANDERSON;u_in;maxsize
11;27;55;100;18;25;0.01;0.014
18;27;54;100;22;20;0.03;0.014
12;25;51;56;22;27;0.04;0.014
10;25;50;34;22;23;0.05;0.014
9;23;47;29;20;51;0.07;0.014
14;100;100;100;49;100;0.1;0.014
21;29;54;100;25;15;0.01;0.016
16;28;53;100;26;87;0.03;0.016
15;25;49;100;26;52;0.04;0.016
15;23;48;63;21;32;0.05;0.016
20;37;60;100;27;100;0.07;0.016
13;31;55;100;25;45;0.1;0.016
16;26;52;100;27;100;0.01;0.018
18;26;51;100;47;28;0.03;0.018
19;23;48;100;32;30;0.04;0.018
16;33;57;100;33;49;0.05;0.018
15;38;61;100;26;22;0.07;0.018
16;28;53;100;39;14;0.1;0.018
21;26;51;100;22;29;0.01;0.02
36;22;47;100;20;24;0.03;0.02
19;33;57;100;22;46;0.04;0.02
24;31;55;100;30;100;0.05;0.02
33;28;53;100;32;25;0.07;0.02
100;25;51;100;30;24;0.1;0.02
100;22;47;100;26;25;0.01;0.022
100;33;57;100;52;42;0.03;0.022
100;31;55;100;27;100;0.04;0.022
37;27;52;100;30;60;0.05;0.022
100;24;50;100;26;100;0.07;0.022
100;21;47;100;25;22;0.1;0.022
