NN;E;Iter;Constant;Automatic;ANDERSON;u_in;maxsize
11;100;34;100;15;100;0.014;0.01
33;100;33;100;18;19;0.016;0.01
21;57;39;27;17;24;0.018;0.01
12;41;31;18;17;83;0.02;0.01
11;25;27;100;15;19;0.022;0.01
100;100;43;100;100;30;0.014;0.03
100;100;35;100;44;100;0.016;0.03
27;100;40;100;24;24;0.018;0.03
26;100;34;100;25;23;0.02;0.03
19;100;32;100;23;100;0.022;0.03
100;100;40;100;100;24;0.014;0.05
45;100;100;100;100;23;0.016;0.05
100;100;56;100;38;100;0.018;0.05
49;100;46;80;40;29;0.02;0.05
34;100;37;100;30;26;0.022;0.05
