NN;E;Iter;Constant;Automatic;ANDERSON;u_in;maxsize
9;15;44;8;12;8;0.01;0.0028
12;13;40;8;12;10;0.03;0.0028
15;14;40;8;13;10;0.05;0.0028
9;15;40;9;13;11;0.01;0.0032
11;14;38;9;15;11;0.03;0.0032
12;24;54;13;22;17;0.05;0.0032
14;23;52;13;20;20;0.01;0.0036
13;23;50;13;20;20;0.03;0.0036
13;23;49;14;21;20;0.05;0.0036
13;22;47;16;21;20;0.01;0.004
15;27;55;15;20;24;0.03;0.004
16;27;54;18;21;42;0.05;0.004
18;25;51;19;22;18;0.01;0.0044
19;25;50;22;23;55;0.03;0.0044
22;23;47;23;25;33;0.05;0.0044
